_id,ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ประกอบกิจการ,,,,,,อำเภอ,จังหวัด,ไปรษณีย์,เขต,จำนวนโรงงาน
1618,1618,ข3-64(2)-1/43,9.11001E+13,บริษัท แฮงเกอร์ อินดัสทรี (ไทยแลนด์) จำกัด,ผลิตโลหะแขวนชุบงานอุตสาหกรรม,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1619,1619,3-64(10)-9/35,1.01004E+13,บริษัท สยามบ๊อกซ์ จำกัด,ทำเหล็กแผ่นลอนอาบสี และเหล็กแผ่นอาบสี,,,,,,ทุ่งครุ,กรุงเทพมหานคร,10140,,
1620,1620,3-52(4)-23/47,1.01E+13,บริษัท ที.อาร์.วี.รับเบอร์โปรดักส์ จำกัด,ทำผลิตภัณฑ์จากยาง เช่น อะไหล่รถยนต์,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
1621,1621,3-95(1)-176/60,1.01E+13,บริษัท สยามออโต้แบคส์ จำกัด,ซ่อมรถยนต์,,,,,,บางกะปิ,กรุงเทพมหานคร,10240,,
1622,1622,3-95(1)-13/27,1.01004E+13,มานะยนต์,ซ่อมและพ่นสีรถยนต์,,,,,,บางพลัด,กรุงเทพมหานคร,10700,,
1623,1623,3-95(1)-72/49,1.01E+13,บริษัท เตชะจรัสฮอนด้า ออโตโมบิล จำกัด,ซ่อมเครื่องยนต์,,,,,,วังทองหลาง,กรุงเทพมหานคร,10310,,
1624,1624,3-95(1)-204/59,1.01E+13,บริษัท วี แคร์ ยัวร์ คาร์ จำกัด ,ศูนย์บริการซ่อมรถยนต์,,,,,,ห้วยขวาง,กรุงเทพมหานคร,10310,,
1625,1625,3-68-10/17,1.01002E+13,ห้างหุ้นส่วนจำกัด ฟ.เจริญ แมนูแฟคตอริ่ง,ซ่อมแซมเครื่องจักรต่าง ๆ เช่น เครื่องอัดรองเท้า เครื่องอัดผ้าเบรค ทำหูกะทะและหูหม้ออลูมิเนียม,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1626,1626,3-28(1)-29/21,1.01E+13,บริษัท เซ็นทรัลกาเมนท์แฟคทอรี่ จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 231 เครื่อง),,,,,,วัฒนา,กรุงเทพมหานคร,10110,,
1627,1627,3-64(13)-46/40,1.01E+13,บริษัท เฟิสท์ จำกัด,รับจ้างกลึงเชื่อมทั่วไปและทำผลิตภัณฑ์พลาสติค,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
1628,1628,3-62-27/15,1.01E+13,นางสาวหนึ่งฤทัย นันทวิลาวัณย์,ทำเตียงนอน และเปลเด็กด้วยเหล็ก,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1629,1629,3-64(13)-43/50,1.01001E+13,บริษัท เอ็น.ที.เอส.พลาสติก จำกัด,รับจ้างกลึง เจาะ คว้าน กัด ไส เจียน เชื่อมโลหะ เพื่อทำผลิตภัณฑ์โลหะ และผลิตชิ้นส่วนพลาสติกประกอบงานโลหะ,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
1630,1630,3-27(2)-3/16,1.01E+13,บริษัท ไทยวีนิล จำกัด,ทำหนังเทียม และ พีวีซี ฟิล์ม,,,,,,คันนายาว,กรุงเทพมหานคร,10230,,
1631,1631,3-95(1)-13/28,1.01001E+13,บริษัท ล.รุ่งประเสริฐทัวร์ จำกัด,ซ่อมเครื่องยนต์และรถยนต์โดยสาร,,,,,,จตุจักร,กรุงเทพมหานคร,10900,,
1632,1632,3-6(2)-9/61,1.01E+13,บริษัท ซี-เทค อินเตอร์เทรด จำกัด,ทำอาหารทะเลแช่แข็ง และทำอาหารกึ่งสำเร็จรูปจากเนื้อสัตว์ต่างๆ เช่น เนื้อหมู เนื้อไก่,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1633,1633,3-95(1)-250/47,1.01E+13,บริษัท ไซม์ ดาร์บี้ แวนเทจ(ประเทศไทย) จำกัด,ซ่อมรถยนต์และเครื่องยนต์,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
1634,1634,3-64(13)-108/48,1.01001E+13,บางกอกอินดักชั่น,กลึง กัด เจาะ ไส และเชื่อมโลหะ,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
1635,1635,3-41(1)-10/61,1.01E+13,บริษัท แอ๊ดวานซ์ อินเตอร์ พริ้นติ้ง จำกัด,พิมพ์สิ่งพิมพ์ต่างๆ เช่น สมุด หนังสือ กล่องบรรจุภัณฑ์,,,,,,บางแค,กรุงเทพมหานคร,10160,,
1636,1636,3-95(1)-53/46,1.01E+13,ห้างหุ้นส่วนจำกัด เฮียบหงวนมอเตอร์,ซ่อมรถยนต์,,,,,,บางแค,กรุงเทพมหานคร,10160,,
1637,1637,3-46(1)-5/12,1.01E+13,บริษัท เยาวราช จำกัด,ผลิตยารักษาโรคแผนปัจจุบัน เช่น ยาน้ำ ยาเม็ด และยาผง หมากหอม แป้งหอมทาตัว,,,,,,วัฒนา,กรุงเทพมหานคร,10110,,
1638,1638,3-81(3)-1/25,1.01016E+13,บริษัท พี.อาร์.พลาสติค เมดิคอลโพรดักส์ จำกัด,ทำอุปกรณ์ทางการแพทย์ด้วยพลาสติก เช่น ชุดให้น้ำเกลือ ให้เลือดและยา กล่องยา,,,,,,สวนหลวง,กรุงเทพมหานคร,10250,,
1639,1639,3-70-13/33,1.01002E+13,บริษัท ซี แอร์คอน เทค จำกัด,ทำโครงตู้เครื่องปรับอากาศ,,,,,,บางแค,กรุงเทพมหานคร,10160,,
1640,1640,3-53(5)-71/59,1.01E+13,บริษัท ไมตรีอุตสาหกรรม จำกัด,ทำชิ้นส่วนพลาสติก เช่น ชิ้นส่วนพลาสติกผนึกวาล์วแก๊ส และทำผลิตภัณฑ์พลาสติก,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1641,1641,3-84(1)-14/28,1.01001E+13,บริษัท แพรนด้า จิวเวลรี่ จำกัด (มหาชน),ผลิตเครื่องประดับด้วยเงิน ทองและเจียระไนพลอย,,,,,,บางนา,กรุงเทพมหานคร,10260,,
1642,1642,3-37-19/31,1.01E+13,ธนบุรีการช่าง,ทำเครื่องเรือนจากไม้,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
1643,1643,3-92-9/43,1.01003E+13,ซี ยูไนเต็ด,ห้องเย็น และชำแหละ แกะ ล้างเนื้อสัตว์,,,,,,สายไหม ,กรุงเทพมหานคร,10220,,
1644,1644,3-95(1)-291/58,1.01E+13,บริษัท วีเอ็มดี ออโต้เซลส์ จำกัด,ศูนย์บริการซ่อมรถยนต์,,,,,,สวนหลวง,กรุงเทพมหานคร,10250,,
1645,1645,3-53(1)-45/35,1.01E+13,นางวลัยพร อุดมเลิศประเสริฐ,ทำของใช้จากพลาสติกและทำแม่พิมพ์สำหรับเครื่องฉีดพลาสติก,,,,,,บางคอแหลม,กรุงเทพมหานคร,10120,,
1646,1646,3-95(1)-43/38,1.01E+13,บริษัท อีซูซุ คิงส์ยนต์ กรุงเทพ จำกัด,ตรวจสอบสภาพและซ่อมรถยนต์,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
1647,1647,3-32(1)-1/32,1.01004E+13,ห้างหุ้นส่วนจำกัด เอกวัฒน์เครื่องหนัง,ทำผลิตภัณฑ์จากหนังสัตว์ เช่น กระเป๋าต่าง ๆ,,,,,,บางซื่อ,กรุงเทพมหานคร,10800,,
1648,1648,3-41(1)-14/32,1.01E+13,บริษัท คอมฟอร์ม จำกัด,พิมพ์แบบฟอร์มคอมพิวเตอร์,,,,,,สะพานสูง,กรุงเทพมหานคร,10240,,
1649,1649,3-63(2)-40/58,1.01002E+13,ประวิทย์โลหะกิจ,ทำล้อลูกกลิ้งและล้อประตูเหล็กยืด,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1650,1650,ศ3-15(2)-3/35,1.001E+11,นายเจริญชัย ทองกิจจ์โชค,บดและป่นกากหมู,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1651,1651,3-37-5/14,1.01E+13,นางชนาสิน กุลพัฒนโชติ,ทำตู้เก็บอาหารจากไม้,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1652,1652,3-64(9)-102/32,1.01E+13,ไทยอินเตอร์พาร์ทเซ็นเตอร์,"กลึงโลหะ เช่น น๊อต สกรู ได้ปีละ 38,000 ชิ้น",,,,,,ทุ่งครุ,กรุงเทพมหานคร,10140,,
1653,1653,3-95(1)-28/43,1.01E+13,B-quik,ซ่อมรถยนต์,,,,,,จตุจักร,กรุงเทพมหานคร,10900,,
1654,1654,3-58(1)-17/39,1.01001E+13,บริษัท ทีพีไอ คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,,,,,,ห้วยขวาง,กรุงเทพมหานคร,10310,,
1655,1655,3-53(4)-15/51,1.01001E+13,สุพจน์กลการ,ทำผลิตภัณฑ์พลาสติกพวกภาชนะบรรจุ เช่น กล่อง ขวด แม่พิมพ์โลหะ และกลึง เชื่อมโลหะทั่วไป,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1656,1656,3-95(1)-46/44,1.01E+13,บริษัท สถิตพร ออโต้บอดี้ จำกัด,ซ่อมและพ่นสีรถยนต์,,,,,,บางเขน,กรุงเทพมหานคร,10220,,
1657,1657,3-64(12)-2/36,1.01011E+13,บริษัท มิลล์คอน สตีล ไพพ์ จำกัด,ตัดพับม้วนรีดโลหะ,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1658,1658,3-53(5)-10/35,1.01003E+13,ศรีสุขพลาสติก,ผลิตเม็ดพลาสติกเกรดบี,,,,,,หนองแขม,กรุงเทพมหานคร,10160,,
1659,1659,ข3-64(13)-64/53,9.102E+13,บริษัท จิรสิน แมชชีนเนอรี่ เซอร์วิส จำกัด,งานกลึง เจาะ คว้าน กัด ไส เจียรหรือเชื่อมโลหะทั่วไป,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
1660,1660,3-64(13)-30/38,1.01E+13,วงศ์ศิริกลการ,กลึงเจาะและเชื่อมโลหะทั่วไป,,,,,,บางแค,กรุงเทพมหานคร,10160,,
1661,1661,3-10(3)-3/31,1.01E+13,นางสาวโสภา สุขเกษม,ทำเส้นก๋วยเตี๋ยว และเส้นหมี่,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1662,1662,3-54-12/15,1.01001E+13,บริษัท อุตสาหกรรมทำเครื่องแก้วไทย จำกัด(มหาชน),ทำขวดบรรจุยารักษาโรค อาหาร สุรา เครื่องดื่ม และภาชนะแก้วต่าง ๆ,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1663,1663,3-45(1)-1/29,1.01007E+13,บริษัท ไทยโตอาอุตสาหกรรม จำกัด,ทำสีน้ำพลาสติกสีน้ำมันสีพ่นแลคเกอร์และทินเนอร์,,,,,,พระโขนง,กรุงเทพมหานคร,10260,,
1664,1664,3-62-22/22,1.01E+13,ห้างหุ้นส่วนจำกัด ศิลป์ฟ้าไทยอุตสาหกรรม,ทำเครื่องตกแต่งภายในอาคารจากโลหะ และเครื่องเลื่อยตัดโลหะ,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
1665,1665,3-95(1)-110/42,1.01E+13,B-quik,ซ่อมรถยนต์,,,,,,บางเขน,กรุงเทพมหานคร,10220,,
1666,1666,3-21(2)-1/42,1.01002E+13,บริษัท อาคเนย์อุตสาหกรรมบรรจุภัณฑ์ จำกัด,ผลิตก้นกรองบุหรี่,,,,,,หนองแขม,กรุงเทพมหานคร,10160,,
1667,1667,3-34(1)-31/53,1.01001E+13,โรงไสไม้พัฒนา,ไส สอยไม้,,,,,,สวนหลวง,กรุงเทพมหานคร,10250,,
1668,1668,3-53(1)-41/29,1.01E+13,บริษัท ตงวาเฮง จำกัด,และอุปกรณ์เฟอร์นิเจอร์,,,,,,สาทร,กรุงเทพมหานคร,10120,,
1669,1669,3-71-40/23,1.01E+13,บริษัท ยู.เอ็น.มอเตอร์เวอร์ค จำกัด,ทำอุปกรณ์มอเตอร์ไฟฟ้าและใบพัดพัดลม,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1670,1670,3-41(1)-2/19,1.01E+13,บริษัท จินดาสาส์น การพิมพ์ จำกัด,พิมพ์หนังสือรายปักษ์,,,,,,บางพลัด,กรุงเทพมหานคร,10700,,
1671,1671,3-4(1)-10/45,1.01E+13,นายคุณ ชินางกูรภิวัฒน์,ฆ่าไก่,,,,,,วัฒนา,กรุงเทพมหานคร,10110,,
1672,1672,3-64(13)-24/40,1.01E+13,บริษัท นิวทรัพย์ กรุ๊ป จำกัด,รับกลึงเจาะตัดมัวนโลหะและเชื่อมโลหะทั่วไป,,,,,,คันนายาว,กรุงเทพมหานคร,10230,,
1673,1673,3-46(1)-4/15,1.01E+13,บริษัท เจริญเภสัชแล็บ จำกัด,ประกอบยารักษาโรคแผนปัจจุบัน,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
1674,1674,3-22(3)-1/35,1.01002E+13,บริษัท ซินไฉฮั้ว อุตสาหกรรม จำกัด,ซักรีดและฟอกเสื้อผ้า,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,,
1675,1675,ข3-64(13)-26/50,9.11E+13,ห้างหุ้นส่วนจำกัด อนันต์เตชภณ,โรงกลึง,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1676,1676,3-91(1)-1/34,1.01018E+13,บริษัท ปตท.น้ำมันและการค้าปลีก จำกัด (มหาชน),บรรจุผลิตภัณฑ์น้ำมันหล่อลื่น และน้ำมันเบรค,,,,,,คลองเตย,กรุงเทพมหานคร,10110,,
1677,1677,3-63(2)-19/33,1.01001E+13,ห้างหุ้นส่วนจำกัด สายทิพย์การช่าง,ทำประตูหน้าต่างเหล็ก และชั้นวางของ,,,,,,ประเวศ,กรุงเทพมหานคร,10250,,
1678,1678,3-28(1)-17/61,1.01E+13,บริษัท ประยุกต์ สปอร์ต ซัพพลาย จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป,,,,,,ดินแดง,กรุงเทพมหานคร,10400,,
1679,1679,3-63(2)-101/28,1.01E+13,อภิศักดิ์โลหะกิจ,ทำขอเกี่ยวกระเบื้อง,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1680,1680,3-27(6)-3/24,1.01001E+13,พัฒนมงคล,ทำที่นอนจากนุ่น(จำนวนจักรเย็บผ้า7เครื่อง),,,,,,บางกอกใหญ่,กรุงเทพมหานคร,10600,,
1681,1681,3-87(5)-2/41,1.01022E+13,บริษัท เอ็นเทอร์ไพรซ์ ไอเดีย จำกัด,รับจ้างทำป้ายตัวอักษรโฆษณา,,,,,,สะพานสูง,กรุงเทพมหานคร,10240,,
1682,1682,3-95(1)-38/40,1.01001E+13,บริษัท สยามนิสัน บอดี้ จำกัด,ซ่อมและเคาะพ่นสีรถยนต์,,,,,,จตุจักร,กรุงเทพมหานคร,10900,,
1683,1683,3-14-3/20,1.01001E+13,โรงน้ำแข็ง แสนสุข,ทำน้ำแข็ง ได้วันละ 1190 ซอง,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
1684,1684,3-8(1)-4/52,1.01E+13,เฮงเลี้ยง,ทำผลไม้กระป๋อง,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1685,1685,3-91(1)-1/46,1.01036E+13,บริษัท โรงงานเกียรติไทยนิตติ้ง จำกัด,ทำซอง และบรรจุยากันยุง,,,,,,หนองแขม,กรุงเทพมหานคร,10160,,
1686,1686,3-95(1)-127/57,1.01E+13,บริษัท นวมินทร์ฮอนด้า ออโตโมบิล จำกัด,ศูนย์บริการซ่อมรถยนต์และซ่อมสีรถยนต์,,,,,,บึงกุ่ม,กรุงเทพมหานคร,10240,,
1687,1687,3-84(1)-2/46,1.01019E+13,บริษัท อาร์ทิเนี่ยน จำกัด,ทำเครื่องประดับกายจาก ทอง เงิน เพชร พลอย และอัญมณี,,,,,,บางรัก,กรุงเทพมหานคร,10500,,
1688,1688,3-52(2)-2/38,1.01009E+13,บริษัท เอเอสแอล คาสเตอร์ จำกัด,ทำล้อรถเข็นจากยาง และทำแบบพิมพ์โลหะ,,,,,,บางคอแหลม,กรุงเทพมหานคร,10120,,
1689,1689,3-71-14/58,1.01003E+13,บริษัท ไอ.อี.พี จำกัด,ผลิตและประกอบตู้เหล็ก,,,,,,บางนา,กรุงเทพมหานคร,10260,,
1690,1690,3-95(1)-40/35,1.01001E+13,บริษัท อู่วิจิตรการช่าง จำกัด,ซ่อมและพ่นสีรถยนต์,,,,,,คันนายาว,กรุงเทพมหานคร,10230,,
1691,1691,3-24-1/35,1.01003E+13,บริษัท ไพโอเนียร์การ์เม้นท์ จำกัด,ถักเสื้อไหมพรม (จำนวนเครื่องถัก 150 เครื่อง) และตัดเย็บเสื้อผ้า (จำนวนจักรเย็บผ้า 165 เครื่อง),,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
1692,1692,3-95(1)-102/52,1.01E+13,บริษัท มาสด้า ซิตี้ จำกัด,ซ่อมรถยนต์ (เครื่องยนต์-ช่วงล่าง),,,,,,สาทร,กรุงเทพมหานคร,10120,,
1693,1693,3-53(7)-2/36,1.01007E+13,บริษัท ฮะซุ่งเฮงการยาง จำกัด,"ทำรองเท้าฟองน้ำ พื้นรองเท้ายาง กำลังการผลิตรองเท้าฟองน้ำ 62,400 คู่/เดือน แลัพื้นรองเท้ายาง 31,200 คู่/เดือน",,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1694,1694,3-95(1)-25/59,1.01E+13,บริษัท ไนน์ ฮอนด้า ออโตโมบิล จำกัด,ศูนย์ซ่อมรถยนต์ทั่วไป และพ่นสีรถยนต์,,,,,,บึงกุ่ม,กรุงเทพมหานคร,10240,,
1695,1695,3-64(11)-2/42,1.01013E+13,บริษัท บีจีเอ็ม เม็ททัล สแคร็พ จำกัด,บดย่อยเศษและตะกรันโลหะผสม (Solder Dross) จากการบัดกรีและชุบขาวงจรอิเล็กทรอนิกส์,,,,,,บางนา,กรุงเทพมหานคร,10260,,
1696,1696,3-39-19/33,1.01E+13,บริษัท เฟรนด์ลี่ แบกส์ จำกัด,ทำถุงกระดาษและถุงพลาสติก,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
1697,1697,3-66-5/14,1.01002E+13,ห้างหุ้นส่วนจำกัด สหายยนต์เอนจิเนียริ่ง,ผลิตเครื่องรีดยาง,,,,,,บางคอแหลม,กรุงเทพมหานคร,10120,,
1698,1698,3-105-91/60,1.01001E+13,บริษัท ซุ่นฮวดค้าเศษกระดาษ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,,,,,สะพานสูง,กรุงเทพมหานคร,10240,,
1699,1699,3-61-2/27,1.01005E+13,ห้างหุ้นส่วนจำกัด เค.วาย.พี อุตสาหกรรม,ทำเลื่อยตัดไม้ และทำเลื่อยตัดโลหะ,,,,,,บางนา,กรุงเทพมหานคร,10260,,
1700,1700,3-58(1)-2/45,1.01009E+13,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,ผลิตผลิตภัณฑ์คอนกรีต เช่น แผ่นพื้นคอนกรีตสำเร็จรูป คอนกรีตบล็อค,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,,
1701,1701,3-63(5)-3/33,1.01006E+13,บริษัท เคนท์ ยูไนเต็ด จำกัด,ทำส่วนประกอบสำหรับใช้กับระบบเครื่องปรับอากาศ เช่น ท่อลม และประกอบเครื่องปรับอากาศ,,,,,,บางคอแหลม,กรุงเทพมหานคร,10120,,
1702,1702,3-87(5)-2/55,1.01001E+13,ห้างหุ้นส่วนจำกัด เศรษฐชัยโฆษณา,รับจ้างทำป้ายโฆษณา,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
1703,1703,3-64(9)-30/30,1.01001E+13,ไทยรุ่งเรือง,ทำเครื่องใช้เล็ก ๆ จากโลหะ เช่น ตะกร้าใส่ของและชั้นวางของ,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
1704,1704,3-65-21/28,1.01001E+13,บริษัท โรจน์กลการ แอนด์แมชชินเนอร์รี่ จำกัด,ผลิตและซ่อมแซมอุปกรณ์ของเครื่องยนต์,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
1705,1705,3-72-1/48,1.01007E+13,บริษัท เอ็กซ์ทรา อิเล็คทรอนิคส์ จำกัด,ผลิตอุปกรณ์ ชิ้นส่วนเครื่องโทรศัพท์ เครื่องปรับอากาศ โทรทัศน์สี ขาวดำ วิทยุ วีซีดี ดีวีดี ฯ,,,,,,สะพานสูง,กรุงเทพมหานคร,10240,,
1706,1706,3-10(3)-2/23,1.01001E+13,สามแสง,ทำเส้นก๋วยเตี๋ยว,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
1707,1707,3-53(1)-5/43,1.01005E+13,บริษัท เอ เอส จี เน็ตเวิร์ค จำกัด,ทำผลิตภัณฑ์พลาสติก,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
1708,1708,3-64(1)-7/30,1.01002E+13,จรัญการค้า,ทำถังและเปลือกเตา,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
1709,1709,3-51-7/13,1.01E+13,โรงงานยางแปซิฟิค,ทำรองเท้ายาง และทำยางล้อรถเข็น ลูกยางกันน้ำมัน,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
1710,1710,3-105-30/60,1.01001E+13,บริษัท เอ.ที.อี. เทเลคอม คอนสตรัคชั่น จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,,,,,,ประเวศ,กรุงเทพมหานคร,10250,,
1711,1711,3-73-10/48,1.01003E+13,ห้างหุ้นส่วนจำกัด ไอโอวา,ประกอบและผลิตอุปกรณ์ชิ้นส่วนเตารีดไฟฟ้า,,,,,,ธนบุรี,กรุงเทพมหานคร,10600,,
1712,1712,3-48(3)-4/30,1.01003E+13,บริษัท บอนด์ เคมีคอลส์ จำกัด,ผลิตกาวยาง น้ำยาผสมกาว,,,,,,หนองแขม,กรุงเทพมหานคร,10160,,
1713,1713,3-52(4)-4/16,1.01001E+13,บริษัท ลิ้มสวัสดิ์ รับเบอร์ แฟคทอรี่ จำกัด,ทำรองเท้าฟองน้ำ,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1714,1714,3-41(1)-27/40,1.01E+13,บริษัท ไทยยูเนี่ยน กราฟฟิกส์ จำกัด,พิมพ์สิ่งพิมพ์ต่างๆเช่นฉลากเป็นต้น,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1715,1715,3-39-6/44,1.01003E+13,นายปนัย ธนทานต์,ทำที่วางไข่จากกระดาษ,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1716,1716,3-84(1)-15/28,1.01004E+13,บริษัท สว่างเอ็กซ์ปอร์ต จำกัด (มหาชน),ทำเครื่องประดับโดยใช้เพชร พลอย ทอง เงิน นาก หรืออัญมณี,,,,,,บางรัก,กรุงเทพมหานคร,10500,,
1717,1717,3-10(3)-3/28,1.01E+13,โง้วง้วนฮวด,ทำเส้นขนมจีน,,,,,,สายไหม ,กรุงเทพมหานคร,10220,,
1718,1718,3-34(2)-145/15,1.01E+13,สมชายการช่าง,ทำวงกบและบานประตูหน้าต่างไม้,,,,,,วัฒนา,กรุงเทพมหานคร,10110,,
1719,1719,ศ3-10(2)-1/36,1.003E+11,บริษัท ยูนิแชมป์ จำกัด,ทำผลิตภัณฑ์อาหารจากแป้ง เช่น คุกกี้ และอาหารขบเคี้ยวทั่วไป,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
1720,1720,3-22(2)-15/13,1.01E+13,บริษัท ไทยก๊อส จำกัด,"ปั่นด้าย ทอผ้า ทำสำลี และผ้าก๊อส จำนวนเครื่องปั่นด้าย 69,152 แกน จำนวนเครื่องทอผ้า 712 เครื่อง",,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,,
1721,1721,3-53(1)-40/58,1.01E+13,บริษัท ไทยเพ็ท ซีท จำกัด,ผลิตแผ่นพลาสติก และปั๊มขึ้นรูปภาชนะบรรจุ เช่น ถ้วย กล่อง ถาด ฝา,,,,,,หนองแขม,กรุงเทพมหานคร,10160,,
1722,1722,3-13(2)-1/29,1.01001E+13,บริษัท เอ็นเอฟ อินเตอร์ฟู้ด จำกัด,ผลิตซ๊อสน้ำมันหอย เต้าเจี้ยวและซ๊อสปรุงรส เช่น ซีอิ้ว และ ผลิตน้ำส้มสายชู,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1723,1723,3-41(1)-15/57,1.01E+13,บริษัท พาณิชพระนคร (2535) จำกัด,พิมพ์สิ่งพิมพ์ต่างๆ,,,,,,บางกะปิ,กรุงเทพมหานคร,10240,,
1724,1724,3-41(1)-10/15,1.01002E+13,บริษัท ไทย โอ.พี.พี. จำกัด (มหาชน),พิมพ์สิ่งพิมพ์ต่างๆ,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
1725,1725,3-53(1)-69/34,1.01E+13,นายทวีศักดิ์ พรคุณพระ,ทำผลิตภัณฑ์พลาสติก,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
1726,1726,ข3-40(1)-11/53,9.102E+13,บริษัท เอส.เอ็น.ยู.วี.จำกัด,เครื่องอัดขึ้นรูปกระดาษ,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
1727,1727,3-95(1)-195/54,1.01E+13,บริษัท ยูไนเต็ดไทร์ จำกัด,ค้ายางรถยนต์ อุปกรณ์ตกแต่งรถยนต์และกระทะล้อรถยนต์ทุกชนิด ตั้งศูนย์ ถ่วงล้อ,,,,,,บางเขน,กรุงเทพมหานคร,10220,,
1728,1728,3-48(1)-2/48,1.01003E+13,บริษัท ดราก้าเพ้นท์ จำกัด,ผลิตและบรรจุเกี่ยวกับผลิตภัณฑ์สำหรับใช้ภายในอาคารบ้านเรือน เช่น กาวดักหนู น้ำยาล้างจาน น้ำยาล้างห้องน้ำ กาวยาง ขี้ผึ้งขัดพื้น น้ำยาแทนปูนขาว น้ำยาเช็ดกระจก เคมีโป๊วผนังและหลังคา จารบี ฯลฯ,,,,,,หนองแขม,กรุงเทพมหานคร,10160,,
1729,1729,3-92-2/41,1.01023E+13,ห้างหุ้นส่วนจำกัด เจริญโชคอนันต,ห้องเย็นเก็บอาหารสด,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
1730,1730,3-64(13)-2/33,1.01011E+13,สนธยาการช่าง,ทำผลิตภัณฑ์โลหะ เช่น น๊อต สกรู สลัก,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1731,1731,3-24-29/32,1.01E+13,บริษัท ไทยนิตติ้งอุตสาหกรรม จำกัด,ถักผ้ายืด (จำนวนเครื่องถักผ้า 40 เครื่อง),,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1732,1732,ข3-64(13)-44/58,9.11E+13,บริษัท ศิริเอกลักษณ์ กรุ๊ป จำกัด,กลึง ไส กัด ปั๊มโลหะ ผลิตชิ้นส่วนรถยนต์ และเครื่องจักรกลการเกษตร,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
1733,1733,3-52(4)-3/46,1.01006E+13,ไทยสหกิจการยาง,ทำรองเท้าแตะฟองน้ำ,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
