_id,ลำดับ,เลขทะเบียนเดิม,FID,ชื่อโรงงาน,ประกอบกิจการ,,,,,,อำเภอ,จังหวัด,ไปรษณีย์,เขต,จำนวนโรงงาน
23,23,ข3-64(2)-57/49,9.11E+13,วิเชียรโลหะกิจ,กลึงปั๊มโลหะทั่วไป,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
24,24,ข3-53(5)-6/40,9.11E+13,บริษัท เอสทีโพลีพลาส จำกัด,ฉีดพลาสติก,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
25,25,ข3-42(1)-8/45,9.102E+13,บริษัท ยูสเวลล์ ดีเวลลอปเม้นท์ จำกัด,ผลิตทินเนอร์,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
26,26,น.84(1)-2/2550-ญอธ.,7.216E+13,บริษัท โกลด์ ฟิลด์ รีไฟเนอรี จำกัด,ผลิตเครื่องประดับและสกัดโลหะมีค่า,,,,,,ประเวศ,กรุงเทพมหานคร,10250,,
27,27,ข3-64(2)-1/40,9.11E+13,นายศักดิ์ฃัย ณ บัณฑิต,ปั๊มขึ้นรูปโลหะ กลึง ไส เชื่อมโลหะทุกชนิด เช่น ชิ้นส่วนไส้กรองน้ำมัน,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
28,28,น.95(1)-3/2539-นนช.,8.201E+13,บริษัท พระนครฮอนด้าออโตโมบิล จำกัด,ซ่อมตัวถัง พ่นสีรถยนต์ และศูนย์บริการทั่วไป,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
29,29,ข3-100(5)-2/47,9.11E+13,ดารานีย์การชุบ,ชุบเคลือบผิวโลหะ,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
30,30,ข3-37-203/53,9.102E+13,มาคาร่า เดคคอเรท,ทำเครื่องเรือนจากไม้,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
31,31,ข3-6(2)-1/53,9.102E+13,บริษัท เคเอส ซีสตาร์ จำกัด,ผลิตปลาแซลมอนรมควัน,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
32,32,ข3-24-17/49,9.11E+13,บริษัท เฟิสท์ซ็อค จำกัด,"ทำถุงเท้า,ถักทอเครื่องนุ่งห่ม",,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
33,33,3-41-55/30,1.01E+13,นายอนันต์ เอกพิพัฒนา,พิมพ์ถุงพลาสติก และทำเม็ดพลาสติกจากเศษพลาสติกเก่า,,,,,,บางแค,กรุงเทพมหานคร,10160,,
34,34,ข3-53(1)-13/55,9.11E+13,บริษัท สาธิต อินเตอร์พลาส จำกัด,โรงงานฉีดพลาสติก,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
35,35,น.31-1/2554-นนล.,8.20303E+13,บริษัท บราสปอร์ต (ประเทศไทย) จำกัด,ผลิตเครื่องหนังทุกชนิดทั้งหนังแท้และหนังเทียมรวมทั้งวัสดุอื่นๆในประเภทเดียวกัน,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,,
36,36,ข3-64(2)-50/49,9.11001E+13,นายวิเชียร เฮ็งเจริญ,ปั๊มโลหะ,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
37,37,3-73-5/19,1.01001E+13,บริษัท กิจพูนชัย จำกัด,ทำอุปกรณ์ไฟฟ้า เช่น น๊อต สกรู เหล็กสลักภัณฑ์ต่าง ๆ,,,,,,คันนายาว,กรุงเทพมหานคร,10230,,
38,38,3-95(1)-51/31,1.01E+13,อู่สุประดิษฐ์ยนต์,ซ่อมและพ่นสีรถยนต์,,,,,,บางกะปิ,กรุงเทพมหานคร,10240,,
39,39,3-52(4)-2/25,1.01001E+13,บริษัท สันติทิพย์อุตสาหกรรม จำกัด,ผลิตยางพื้นรองเท้า และกาวทาพื้นรองเท้า,,,,,,ทุ่งครุ,กรุงเทพมหานคร,10140,,
40,40,น.42(1)-5/2543-ญนล.,7.203E+13,บริษัท นีเวลล์ รับเบอร์เมด (ประเทศไทย) จำกัด,น้ำยาลบคำผิด ประกอบและแบ่งบรรจุผลิตภัณธ์ เครื่องเขียน และเครื่องใช้สำนักงาน,,,,,,ลาดกระบัง,กรุงเทพมหานคร,10520,,
41,41,3-70-47/25,1.01E+13,บริษัท ไทคูณ เอ็นจิเนียริ่ง จำกัด,ประกอบเครื่องปรับอากาศ และตู้เย็น,,,,,,ดินแดง,กรุงเทพมหานคร,10400,,
42,42,3-67(5)-1/25,1.01015E+13,ธนบุรีเคเบิล,ทำเครื่องจักร ผลิตสายไฟฟ้า,,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
43,43,3-77(1)-9/22,1.01005E+13,ห้างหุ้นส่วนจำกัด สหพัฒนศิลป์โลหะกิจ,ทำตัวถังกะบะ และพื้นกะบะรถบรรทุกเล็ก,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
44,44,3-95(1)-177/47,1.01E+13,บริษัท ยูเนี่ยนรังสีมอเตอร์ จำกัด,ซ่อมและพ่นสีรถยนต์,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
45,45,3-64(9)-58/29,1.01E+13,นายสมบูรณ์ ฤทธิ์วิศรุต,ทำเครื่องใช้เล็ก ๆ จากโลหะ และทำหน้ากาก คีมจับลวดเชื่อมไฟฟ้า,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
46,46,3-28(1)-89/23,1.01E+13,เจริญอาภรณ์,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 58 เครื่อง),,,,,,คลองสาน,กรุงเทพมหานคร,10600,,
47,47,3-95(1)-289/47,1.01E+13,บริษัท พระราม 2 ยนต์การเซอร์วิส จำกัด,ซ่อม-พ่นสีรถยนต์,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
48,48,3-64(10)-9/48,1.01002E+13,นางเมธิรา พิริยะสถาพร,ทำผลิตภัณฑ์โลหะ ด้วยวิธีขัด ตบแต่งโลหะ รับจ้างกลึง กัด ไส เจียน และเชื่อมโลหะทุกชนิด,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
49,49,3-28(1)-16/48,1.01E+13,บริษัท ไฮแอท นิตติ้ง จำกัด,"ตัดเย็บเสื้อผ้า, ถักทอเสื้อไหมพรม และซักอบผ้า",,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
50,50,ศ3-34(2)-13/37,1.00001E+11,อนันต์การช่าง,มำวงกบ ขอบประตู-หน้าต่าง บานประตู-หน้าต่าง และส่วนประกอบของอาคารที่ทำด้ยไม้,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
51,51,3-95(1)-9/53,1.01009E+13,อู่มือทองมอเตอร์,ซ่อมและเคาะพ่นสีรถยนต์,,,,,,จตุจักร,กรุงเทพมหานคร,10900,,
52,52,3-41(1)-2/23,1.01004E+13,บริษัท ปัญญศิลป์ พริ้นติ้ง จำกัด,พิมพ์สิ่งพิมพ์ต่าง ๆ,,,,,,พระโขนง,กรุงเทพมหานคร,10260,,
53,53,3-95(1)-10/53,1.01003E+13,บริษัท มิลเลนเนียม ออโต้ จำกัด,ซ่อมเครื่องยนต์รถยนต์ และซ่อมสีรถยนต์,,,,,,วัฒนา,กรุงเทพมหานคร,10110,,
54,54,ศ3-48(7)-1/38,1.01E+11,เม้งเฮียงเส็ง,ทำธูป,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
55,55,3-95(1)-193/52,1.01E+13,บริษัท ปิยะการาจ จำกัด,เคาะพ่นสีรถยนต์,,,,,,สาทร,กรุงเทพมหานคร,10120,,
56,56,3-64(1)-4/26,1.01006E+13,คูฮั่วเซ้ง,ทำผลิตภัณฑ์จากแผ่นโลหะ เช่น ถังใส่น้ำแข็ง หม้อก๋วยเตี๋ยว,,,,,,สาทร,กรุงเทพมหานคร,10120,,
57,57,3-95(1)-55/37,1.01E+13,บริษัท อีซูซุออโต้เซ็นเตอร์ จำกัด,ซ่อมและบำรุงรักษารถยนต์,,,,,,บางกะปิ,กรุงเทพมหานคร,10240,,
58,58,3-46(1)-2/29,1.01002E+13,บริษัท โอสถยังตัง จำกัด,ผลิตยารักษาโรคแผนปัจจุบันและแผนโบราณ,,,,,,ห้วยขวาง,กรุงเทพมหานคร,10310,,
59,59,3-64(1)-13/20,1.01003E+13,นายสมศักดิ์ สุคันโธวงศ์,"ทำถังตักปูน ได้ปีละ 36,000 ใบ",,,,,,ราษฎร์บูรณะ,กรุงเทพมหานคร,10140,,
60,60,3-95(1)-336/48,1.01E+13,บริษัท ประดิษฐพงศ์ กิจเจริญ จำกัด,ซ่อมและรับติดตั้งอุปกรณ์ชิ้นส่วนรถยนต์,,,,,,บางกะปิ,กรุงเทพมหานคร,10240,,
61,61,3-71-24/23,1.01E+13,บริษัท แมคแซนซัพพลายแอนด์เซอร์วิส จำกัด,ผลิตและซ่อมเครื่องสูบน้ำปีละ 20 เครื่อง และเครื่องกรองน้ำ ปีละ 18 เครื่อง,,,,,,ห้วยขวาง,กรุงเทพมหานคร,10310,,
62,62,3-34(1)-72/48,1.01E+13,แสงเจริญรัตน์,ไส ซอยไม้,,,,,,คลองสามวา,กรุงเทพมหานคร,10510,,
63,63,3-77(1)-12/48,1.01004E+13,ห้างหุ้นส่วนจำกัด อู่กิจไพศาลวิศวยนต์,ต่อตัวถังรถตู้และรถกะบะเล็ก,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
64,64,3-95(1)-162/42,1.01E+13,บริษัท สยามอินเตอร์ ซูซูกิ จำกัด,ศูนย์บริการตรวจซ่อมยานยนค์ทุกชนิด,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
65,65,3-22(2)-8/53,1.01E+13,ห้างหุ้นส่วนจำกัด กิจชัย,ทอผ้าดิบ ผ้าขาวม้า ผ้าปูที่นอน ผ้าเช็ดหน้าและทอผ้าไหม,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
66,66,3-64(2)-27/52,1.01001E+13,ชัยเจริญโลหะกิจ,ทำผลิตภัณฑ์ด้วยวิธีปั๊ม เช่น ลิ้นแฟ้มใส่เอกสาร,,,,,,บางคอแหลม,กรุงเทพมหานคร,10120,,
67,67,3-48(6)-1/58,1.01E+13,บริษัท พี บี เอส คอมเมอร์เชียล จำกัด,หมึกพิมพ์,,,,,,หนองจอก,กรุงเทพมหานคร,10530,,
68,68,3-52(4)-2/40,1.01007E+13,ห้างหุ้นส่วนจำกัด โชคชัย ฟุตแวร์ (1999),ผลิตรองเท้าแตะฟองน้ำและพีวีซี,,,,,,บางขุนเทียน,กรุงเทพมหานคร,10150,,
69,69,3-67(7)-1/20,1.01015E+13,เอส.ที.อุตสาหกรรม,ทำแบบหล่อดอกยาง,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
70,70,3-95(1)-7/53,1.01004E+13,อู่ พ. ยานยนต์,ซ่อมแซมรถยนต์,,,,,,ภาษีเจริญ,กรุงเทพมหานคร,10160,,
71,71,3-23(1)-3/38,1.01E+13,บริษัท โวโนร์ไฟว์สตาร์ จำกัด,ทำที่นอนและเตียงสปริง,,,,,,ยานนาวา,กรุงเทพมหานคร,10120,,
72,72,3-14-6/32,1.01E+13,ทิพย์ประเสริฐน้ำแข็งหลอด,ทำน้ำแข็งก้อนเล็ก เพิ่มขึ้นอีก 158.50 ตัน/วัน รวมเป็น 330 ตัน/วัน,,,,,,ห้วยขวาง,กรุงเทพมหานคร,10310,,
73,73,3-95(1)-70/37,1.01E+13,อู่คณะบุคคล แจแปนิสคาร์รีแพร์,ซ่อมและพ่นสีรถยนต์,,,,,,บึงกุ่ม,กรุงเทพมหานคร,10240,,
74,74,3-53(7)-2/29,1.01007E+13,บริษัท เสรีวงษ์ จำกัด,"ทำพื้นรองเท้าพลาสติกได้ปีละ72,000คู่และทำถุงพลาสติกได้ปละ15,100,000ใบ",,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
75,75,3-64(9)-107/23,1.01E+13,นายนิธิรุจน์ ศิรโอฬารโรจน์,ทำม่านบังตา ที่แขวนเสื้อ และเปลเด็กจากเหล็ก,,,,,,บางกอกใหญ่,กรุงเทพมหานคร,10600,,
76,76,3-77(1)-2/38,1.01028E+13,บริษัท ปีคอัพเวย์ จำกัด,ประกอบ ติดตั้ง ซ่อมแซมอุปกรณ์รถยนต์ และติดตั้งหลังคาไฟเบอร์รถยนต์บรรทุกเล็ก,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
77,77,3-95(1)-25/43,1.01E+13,อู่โชคศิริวัชรยนต์,เคาะพ่นสีรถยนต์,,,,,,บางบอน,กรุงเทพมหานคร,10150,,
78,78,3-60-4/32,1.01006E+13,สุวรรณโลหะกิจ,รีดทองเหลืองและอลูมิเนียม ได้ปีละ 108 ตัน,,,,,,จอมทอง,กรุงเทพมหานคร,10150,,
79,79,3-28(1)-177/26,1.01E+13,บริษัท โกลเด้นโบล์ จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 85 เครื่อง),,,,,,บางคอแหลม,กรุงเทพมหานคร,10120,,
80,80,ศ3-14-2/35,1E+11,บริษัท น้ำแข็งมีนบุรี จำกัด,ผลิตน้ำแข็งก้อนเล็ก โดยผลิตน้ำแข็งก้อนเล็กเพิ่มขึ้นวันละ 50 ตัน รวมผลิตได้วันละ 200 ตัน,,,,,,มีนบุรี,กรุงเทพมหานคร,10510,,
81,81,3-87(4)-2/35,1.01012E+13,ฉัตรธงชัย,"ทำไม้ถูพื้น แปรงขัดพื้น กำลังการผลิตไม้ถูพื้น 50,000 อัน/ปี แปรงขัดพื้น 50,000 อัน/ปี",,,,,,บางแค,กรุงเทพมหานคร,10160,,
82,82,3-95(1)-41/35,1.01001E+13,นายนิค ศรีกลชีพ,ซ่อม และพ่นสีรถยนต์,,,,,,ลาดพร้าว,กรุงเทพมหานคร,10230,,
